"zcta5","state","puma2k","stab","zipname","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"ZIP Census Tabulation Area","FIPS state","puma2k","State Postal Code","zipname","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","zcta5 to puma2k alloc factor","puma2k to zcta5 alloc factor"
"01088","25","01600","MA","West Hatfield, MA","2501600",-72.641998,42.389733,670,1,0.006392 
"01089","25","01800","MA","West Springfield Town, MA","2501800",-72.639859,42.115822,28391,1,0.240581 
"01092","25","01500","MA","West Warren, MA (PO Boxes)","2501500",-72.232544,42.207919,1394,1,0.012528 
"01093","25","00200","MA","Whately, MA (PO Boxes)","2500200",-72.647156,42.434059,325,1,0.00269 
"01094","25","00200","MA","Wheelwright, MA (PO Boxes)","2500200",-72.142609,42.353889,351,1,0.002905 
"01095","25","02000","MA","Wilbraham, MA","2502000",-72.443877,42.126558,14319,1,0.122311 
"01096","25","00200","MA","Williamsburg, MA","2500200",-72.802008,42.406658,869,0.391971,0.007193 
"01096","25","01600","MA","Williamsburg, MA","2501600",-72.741569,42.398566,1348,0.608028,0.012861 
"01097","25","01800","MA","Woronoco, MA","2501800",-72.832911,42.169297,111,1,0.000941 
"01098","25","00200","MA","Worthington, MA","2500200",-72.935066,42.397142,1101,1,0.009113 
"01103","25","01900","MA","Springfield, MA","2501900",-72.587548,42.10358,2479,1,0.016196 
"01104","25","01700","MA","Springfield, MA","2501700",-72.560431,42.149261,3,0.000131,0.000027 
"01104","25","01900","MA","Springfield, MA","2501900",-72.577218,42.129191,22862,0.999868,0.149362 
"01105","25","01900","MA","Springfield, MA","2501900",-72.577776,42.101087,12350,1,0.080685 
"01106","25","01900","MA","Longmeadow, MA","2501900",-72.561031,42.069287,244,0.01523,0.001594 
"01106","25","02000","MA","Longmeadow, MA","2502000",-72.567292,42.051096,15777,0.98477,0.134766 
"01107","25","01900","MA","Springfield, MA","2501900",-72.6062,42.118508,11611,1,0.075857 
"01108","25","01900","MA","Springfield, MA","2501900",-72.558109,42.085987,26688,1,0.174358 
"01109","25","01900","MA","Springfield, MA","2501900",-72.552169,42.115495,30250,1,0.19763 
"01118","25","01900","MA","Springfield, MA","2501900",-72.526724,42.093001,14071,1,0.091929 
"01119","25","01900","MA","Springfield, MA","2501900",-72.512454,42.125403,14152,1,0.092458 
"01128","25","01900","MA","Springfield, MA","2501900",-72.488532,42.095801,2631,1,0.017189 
"01129","25","01900","MA","Springfield, MA","2501900",-72.487598,42.123899,7019,1,0.045857 
"01151","25","01900","MA","Springfield, MA","2501900",-72.503795,42.153376,8698,1,0.056826 
"01201","25","00100","MA","Pittsfield, MA","2500100",-73.248032,42.453093,46504,1,0.40354 
"01220","25","00100","MA","Adams, MA","2500100",-73.116993,42.622796,8603,1,0.074653 
"01222","25","00200","MA","Ashley Falls, MA","2500200",-73.317912,42.058733,829,1,0.006862 
"01223","25","00200","MA","Becket, MA","2500200",-73.085753,42.299874,2314,1,0.019153 
"01224","25","00100","MA","Berkshire, MA","2500100",-73.197839,42.506516,182,1,0.001579 
"01225","25","00100","MA","Cheshire, MA","2500100",-73.156611,42.561266,3117,1,0.027048 
"01226","25","00100","MA","Dalton, MA","2500100",-73.161742,42.472674,6824,0.982577,0.059216 
"01226","25","00200","MA","Dalton, MA","2500200",-73.063322,42.502408,121,0.017423,0.001002 
"01229","25","00100","MA","Glendale, MA (PO Boxes)","2500100",-73.331003,42.277877,95,1,0.000824 
"01230","25","00100","MA","Great Barrington, MA","2500100",-73.360837,42.203958,5959,0.70688,0.051709 
"01230","25","00200","MA","Great Barrington, MA","2500200",-73.365904,42.166941,2471,0.29312,0.020453 
"01235","25","00100","MA","Hinsdale, MA","2500100",-73.113999,42.436263,1911,0.690889,0.016583 
"01235","25","00200","MA","Hinsdale, MA","2500200",-73.045966,42.435202,855,0.30911,0.007077 
"01236","25","00100","MA","Housatonic, MA","2500100",-73.371181,42.25512,1509,1,0.013094 
"01237","25","00100","MA","Lanesboro, MA","2500100",-73.242112,42.534783,2496,1,0.021659 
"01238","25","00100","MA","Lee, MA","2500100",-73.248435,42.305501,5857,0.968579,0.050824 
"01238","25","00200","MA","Lee, MA","2500200",-73.208585,42.268919,190,0.031421,0.001573 
"01240","25","00100","MA","Lenox, MA","2500100",-73.272253,42.366466,4534,1,0.039344 
"01242","25","00100","MA","Lenox Dale, MA (PO Boxes)","2500100",-73.248679,42.334234,476,1,0.004131 
"01243","25","00200","MA","Middlefield, MA (PO Boxes)","2500200",-73.015502,42.349918,334,1,0.002765 
"01244","25","00200","MA","Mill River, MA (PO Boxes)","2500200",-73.261611,42.115646,151,1,0.00125 
"01245","25","00200","MA","Monterey, MA","2500200",-73.217298,42.181432,985,1,0.008153 
"01247","25","00100","MA","North Adams, MA","2500100",-73.111638,42.699107,15410,0.957916,0.133721 
"01247","25","00200","MA","North Adams, MA","2500200",-73.031788,42.684481,677,0.042084,0.005604 
"01253","25","00200","MA","Otis, MA","2500200",-73.106623,42.204053,731,1,0.006051 
"01254","25","00100","MA","Richmond, MA","2500100",-73.360129,42.377534,972,1,0.008435 
"01255","25","00200","MA","Sandisfield, MA","2500200",-73.124405,42.111903,915,1,0.007574 
"01256","25","00200","MA","Savoy, MA","2500200",-73.018722,42.575988,692,1,0.005728 
"01257","25","00200","MA","Sheffield, MA","2500200",-73.358651,42.101418,2121,1,0.017556 
"01258","25","00200","MA","South Egremont, MA","2500200",-73.439561,42.131862,374,1,0.003096 
"01259","25","00200","MA","Southfield, MA","2500200",-73.261789,42.074682,635,1,0.005256 
"01260","25","00100","MA","South Lee, MA (PO Boxes)","2500100",-73.317945,42.287054,240,1,0.002083 
"01262","25","00100","MA","Stockbridge, MA (PO Boxes)","2500100",-73.315857,42.292324,1238,1,0.010743 
"01264","25","00200","MA","Tyringham, MA","2500200",-73.19485,42.233201,137,1,0.001134 
"01266","25","00100","MA","West Stockbridge, MA","2500100",-73.369345,42.330718,1324,0.90499,0.011489 
"01266","25","00200","MA","West Stockbridge, MA","2500200",-73.416295,42.257185,139,0.09501,0.001151 
"01267","25","00100","MA","Williamstown, MA","2500100",-73.206729,42.705451,7989,1,0.069325 
"01270","25","00200","MA","Windsor, MA","2500200",-73.04423,42.510428,778,1,0.00644 
"01301","25","00200","MA","Greenfield Town, MA","2500200",-72.601303,42.60146,17700,1,0.146505 
"01330","25","00200","MA","Ashfield, MA","2500200",-72.807597,42.517856,1506,1,0.012465 
"01331","25","00200","MA","Athol, MA","2500200",-72.216281,42.584231,13263,1,0.109779 
"01337","25","00200","MA","Bernardston, MA","2500200",-72.563025,42.684685,2596,1,0.021487 
"01338","25","00200","MA","Buckland, MA","2500200",-72.812363,42.577078,187,1,0.001548 
"01339","25","00200","MA","Charlemont, MA","2500200",-72.873964,42.622513,1438,1,0.011902 
"01340","25","00200","MA","Colrain, MA","2500200",-72.709186,42.676903,1701,1,0.014079 
"01341","25","00200","MA","Conway, MA","2500200",-72.702652,42.510857,1833,1,0.015172 
"01342","25","00200","MA","Deerfield, MA","2500200",-72.603897,42.540964,1492,1,0.012349 
"01343","25","00200","MA","Drury, MA","2500200",-72.994745,42.656842,75,1,0.000621 
"01344","25","00200","MA","Erving, MA","2500200",-72.446541,42.597904,1498,1,0.012399 
"01346","25","00200","MA","Heath, MA","2500200",-72.821241,42.686961,533,1,0.004412 
"01347","25","00200","MA","Lake Pleasant, MA (PO Boxes)","2500200",-72.516522,42.557015,166,1,0.001374 
"01349","25","00200","MA","Millers Falls, MA","2500200",-72.493578,42.57784,1091,1,0.00903 
"01350","25","00200","MA","Monroe Bridge, MA (PO Boxes)","2500200",-72.958506,42.723438,121,1,0.001002 
"01351","25","00200","MA","Montague, MA","2500200",-72.533443,42.545154,2270,1,0.018789 
"01354","25","00200","MA","Gill, MA","2500200",-72.516771,42.633473,1500,1,0.012416 
"01355","25","00200","MA","New Salem, MA","2500200",-72.331111,42.509392,878,1,0.007267 
"01360","25","00200","MA","Northfield, MA","2500200",-72.45115,42.682162,3032,1,0.025096 
"01364","25","00200","MA","Orange, MA","2500200",-72.29649,42.590362,7969,1,0.06596 
"01366","25","00200","MA","Petersham, MA","2500200",-72.191972,42.4849,1276,0.999217,0.010562 
"01366","25","01500","MA","Petersham, MA","2501500",-72.168173,42.441219,1,0.000783,9E-6 
"01367","25","00200","MA","Rowe, MA","2500200",-72.898684,42.701602,522,1,0.004321 
"01368","25","00200","MA","Royalston, MA","2500200",-72.179517,42.673519,1261,1,0.010437 
"01370","25","00200","MA","Shelburne Falls, MA","2500200",-72.732856,42.601365,4084,1,0.033804 
"01373","25","00200","MA","South Deerfield, MA","2500200",-72.610924,42.47864,4600,1,0.038075 
"01375","25","01600","MA","Sunderland, MA","2501600",-72.566187,42.454592,3684,1,0.035148 
"01376","25","00200","MA","Turners Falls, MA","2500200",-72.556823,42.598111,5247,1,0.04343 
"01378","25","00200","MA","Warwick, MA","2500200",-72.338229,42.670201,774,1,0.006406 
"01379","25","00200","MA","Wendell, MA","2500200",-72.403144,42.543986,813,1,0.006729 
"01420","25","00300","MA","Fitchburg, MA","2500300",-71.803925,42.579519,40337,1,0.276024 
"01430","25","00300","MA","Ashburnham, MA","2500300",-71.926705,42.651033,6089,1,0.041667 
"01431","25","00300","MA","Ashby, MA","2500300",-71.816083,42.675572,3074,1,0.021035 
"01432","25","00400","MA","Ayer, MA","2500400",-71.572304,42.560509,7089,1,0.064416 
"01434","25","00400","MA","Devens, MA","2500400",-71.618755,42.534399,1795,1,0.016311 
"01436","25","00300","MA","Baldwinville, MA","2500300",-72.07208,42.603843,3336,1,0.022828 
"01438","25","00300","MA","East Templeton, MA (PO Boxes)","2500300",-72.033299,42.561046,559,1,0.003825 
"01440","25","00300","MA","Gardner, MA","2500300",-71.988582,42.575149,20347,1,0.139233 
"01450","25","00500","MA","Groton, MA","2500500",-71.559389,42.611235,10646,1,0.055798 
"01451","25","00400","MA","Harvard, MA","2500400",-71.575196,42.500099,4747,1,0.043135 
"01452","25","00200","MA","Hubbardston, MA","2500200",-72.00308,42.486871,4382,1,0.03627 
"01453","25","00300","MA","Leominster, MA","2500300",-71.754816,42.52693,40740,0.996502,0.278781 
"01453","25","00400","MA","Leominster, MA","2500400",-71.70912,42.506459,143,0.003498,0.001299 
"01460","25","01400","MA","Littleton, MA","2501400",-71.486804,42.539815,8924,1,0.079268 
"01462","25","00300","MA","Lunenburg, MA","2500300",-71.721615,42.588067,10086,1,0.069018 
"01463","25","00500","MA","Pepperell, MA","2500500",-71.594218,42.669801,11497,1,0.060258 
"01464","25","00400","MA","Shirley, MA","2500400",-71.647229,42.557307,7211,1,0.065524 
"01467","25","00400","MA","Still River, MA (PO Boxes)","2500400",-71.616099,42.488235,316,1,0.002871 
"01468","25","00300","MA","Templeton, MA","2500300",-72.064784,42.553055,4021,1,0.027515 
"01469","25","00400","MA","Townsend, MA","2500400",-71.692011,42.655687,6801,1,0.061799 
"01473","25","00300","MA","Westminster, MA","2500300",-71.90654,42.550484,7277,1,0.049796 
"01474","25","00400","MA","West Townsend, MA","2500400",-71.745354,42.670998,2125,1,0.019309 
"01475","25","00300","MA","Winchendon, MA","2500300",-72.04805,42.676912,10270,1,0.070277 
"01501","25","02200","MA","Auburn, MA","2502200",-71.839057,42.204647,16059,0.999004,0.129985 
"01501","25","02300","MA","Auburn, MA","2502300",-71.816921,42.230441,16,0.000995,0.000088 
"01503","25","00400","MA","Berlin, MA","2500400",-71.6332,42.381914,2866,1,0.026042 
"01504","25","03600","MA","Blackstone, MA","2503600",-71.527506,42.030066,9026,1,0.083481 
"01505","25","01500","MA","Boylston, MA","2501500",-71.725458,42.341054,4355,1,0.039137 
"01506","25","01500","MA","Brookfield, MA","2501500",-72.102849,42.194229,3390,1,0.030465 
"01507","25","02100","MA","Charlton, MA","2502100",-71.96414,42.138723,12981,1,0.098441 
"01510","25","00400","MA","Clinton, MA","2500400",-71.659408,42.422711,2,0.000147,0.000018 
"01510","25","01500","MA","Clinton, MA","2501500",-71.681264,42.418235,13604,0.999853,0.122256 
"01515","25","01500","MA","East Brookfield, MA","2501500",-72.047934,42.217457,2183,1,0.019618 
"01516","25","02100","MA","Douglas, MA","2502100",-71.727541,42.057656,8500,1,0.064459 
"01518","25","02100","MA","Fiskdale, MA","2502100",-72.115627,42.125291,2974,1,0.022553 
"01519","25","02200","MA","Grafton, MA","2502200",-71.688148,42.200154,6595,1,0.053381 
"01520","25","02200","MA","Holden, MA","2502200",-71.842408,42.34027,13997,1,0.113295 
"01521","25","02100","MA","Holland, MA","2502100",-72.159753,42.058045,2481,1,0.018815 
"01522","25","02200","MA","Jefferson, MA","2502200",-71.86725,42.377499,3310,1,0.026792 
"01523","25","00400","MA","Lancaster, MA","2500400",-71.681256,42.46938,7576,0.999208,0.068841 
"01523","25","01500","MA","Lancaster, MA","2501500",-71.692865,42.432779,6,0.000791,0.000054 
"01524","25","02200","MA","Leicester, MA","2502200",-71.917728,42.241202,6696,1,0.054199 
"01525","25","02100","MA","Linwood, MA (PO Boxes)","2502100",-71.630518,42.106794,290,1,0.002199 
"01527","25","02200","MA","Millbury, MA","2502200",-71.763937,42.197689,13240,0.999547,0.107167 
"01527","25","02300","MA","Millbury, MA","2502300",-71.776637,42.218649,6,0.000453,0.000033 
"01529","25","03600","MA","Millville, MA","2503600",-71.57917,42.033745,3190,1,0.029504 
"01531","25","00200","MA","New Braintree, MA","2500200",-72.126329,42.321525,999,1,0.008269 
"01532","25","00400","MA","Northborough, MA","2500400",-71.643489,42.359743,2,0.000141,0.000018 
"01532","25","01500","MA","Northborough, MA","2501500",-71.644926,42.320217,14153,0.999858,0.127189 
"01534","25","02100","MA","Northbridge, MA","2502100",-71.653257,42.147666,5631,1,0.042702 
"01535","25","01500","MA","North Brookfield, MA","2501500",-72.081434,42.267248,4680,1,0.042058 
