"zcta5","state","sduni","stab","zipname","uschlnm10","intptlon","intptlat","pop10","afact","AFACT2"
"ZIP Census Tabulation Area","FIPS state","sduni","State Postal Code","zipname","Unified School District Name 2010","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","zcta5 to sduni alloc factor","sduni to zcta5 alloc factor"
"01560","25","05370","MA","South Grafton, MA","Grafton School District",-71.679861,42.174739,4527,1,0.254827
"01561","25","08310","MA","South Lancaster, MA","Nashoba School District",-71.685557,42.443188,330,1,0.016887
"01562","25","00002","MA","Spencer, MA","Spencer-East Brookfield School District",-71.988922,42.244555,11688,1,0.842621
"01564","25","11880","MA","Sterling, MA","Wachusett School District",-71.769216,42.43787,7808,1,0.188845
"01566","25"," ","MA","Sturbridge, MA","25",-72.076858,42.109037,6294,1,0.015033
"01568","25","07680","MA","Upton, MA","Mendon-Upton School District",-71.608173,42.17124,7480,1,0.559001
"01569","25","08940","MA","Uxbridge, MA","Northbridge School District",-71.642401,42.09953,171,0.012602,0.010887
"01569","25","11850","MA","Uxbridge, MA","Uxbridge School District",-71.632565,42.07234,13398,0.987398,0.995615
"01570","25","12240","MA","Webster, MA","Webster School District",-71.864612,42.047782,16767,1,1
"01571","25","04360","MA","Dudley, MA","Dudley-Charlton Regional School District",-71.918082,42.048944,11390,1,0.467359
"01581","25","12600","MA","Westborough, MA","Westborough School District",-71.616062,42.267646,18272,1,1
"01583","25","12390","MA","West Boylston, MA","West Boylston School District",-71.783048,42.356808,7541,0.993413,0.983309
"01583","25","13230","MA","West Boylston, MA","Worcester School District",-71.790279,42.338119,50,0.006587,0.000276
"01585","25","12100","MA","West Brookfield, MA","Quaboag Regional School District",-72.155727,42.235227,4554,1,0.515391
"01588","25","08940","MA","Whitinsville, MA","Northbridge School District",-71.667144,42.118686,9615,0.987876,0.612147
"01588","25","11400","MA","Whitinsville, MA","Sutton School District",-71.697365,42.1151,88,0.009041,0.009818
"01588","25","11850","MA","Whitinsville, MA","Uxbridge School District",-71.663714,42.09682,30,0.003082,0.002229
"01590","25","11400","MA","Sutton, MA","Sutton School District",-71.740975,42.143551,8875,1,0.990181
"01602","25","13230","MA","Worcester, MA","Worcester School District",-71.842721,42.270536,22819,1,0.12604
"01603","25","13230","MA","Worcester, MA","Worcester School District",-71.837733,42.245044,19916,1,0.110006
"01604","25","07890","MA","Worcester, MA","Millbury School District",-71.734881,42.237131,27,0.000779,0.002036
"01604","25","10770","MA","Worcester, MA","Shrewsbury School District",-71.741404,42.24348,64,0.001846,0.001797
"01604","25","13230","MA","Worcester, MA","Worcester School District",-71.774007,42.25378,34586,0.997375,0.191035
"01605","25","13230","MA","Worcester, MA","Worcester School District",-71.787949,42.28953,26221,1,0.144831
"01606","25","12390","MA","Worcester, MA","West Boylston School District",-71.768627,42.319838,128,0.00671,0.016691
"01606","25","13230","MA","Worcester, MA","Worcester School District",-71.795904,42.312717,18949,0.99329,0.104665
"01607","25","02220","MA","Worcester, MA","Auburn School District",-71.798639,42.211402,101,0.012094,0.006239
"01607","25","13230","MA","Worcester, MA","Worcester School District",-71.796285,42.230037,8250,0.987906,0.045569
"01608","25","13230","MA","Worcester, MA","Worcester School District",-71.801922,42.261982,3888,1,0.021475
"01609","25","13230","MA","Worcester, MA","Worcester School District",-71.817966,42.27643,22421,1,0.123842
"01610","25","13230","MA","Worcester, MA","Worcester School District",-71.809856,42.249038,23945,1,0.13226
"01611","25","06720","MA","Cherry Valley, MA","Leicester School District",-71.873712,42.236437,2242,1,0.204376
"01612","25","11880","MA","Paxton, MA","Wachusett School District",-71.922326,42.307553,4845,1,0.117182
"01701","25","04980","MA","Framingham, MA","Framingham School District",-71.425971,42.319524,31217,1,0.456937
"01702","25","04980","MA","Framingham, MA","Framingham School District",-71.423956,42.282247,37101,0.997178,0.543063
"01702","25","08340","MA","Framingham, MA","Natick School District",-71.399866,42.285123,105,0.002822,0.003181
"01718","25"," ","MA","Village Of Nagog Woods, MA","25",-71.429518,42.519686,469,1,0.00112
"01719","25"," ","MA","Boxborough, MA","25",-71.515286,42.485729,4996,1,0.011933
"01720","25"," ","MA","Acton, MA","25",-71.442078,42.481803,21361,1,0.051021
"01721","25","02100","MA","Ashland, MA","Ashland School District",-71.459374,42.255267,16593,1,1
"01730","25","02400","MA","Bedford, MA","Bedford School District",-71.275782,42.495958,13210,0.999168,0.991742
