"state","puma2k","puma12","stab","PUMAname","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma2k","puma12","State Postal Code","PUMA12 Name","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma2k to puma12 alloc factor","puma12 to puma2k alloc factor"
"01","01800","02500","AL","Houston, Dale, Geneva & Henry Counties--Dothan City","0101800",-85.268773,31.478594,17302,0.08742,0.088325 
"01","01900","02000","AL","Montgomery City & Pike Road Town (North)","0101900",-86.253012,32.352814,190233,0.929566,0.967939 
"01","01900","02100","AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties","0101900",-86.226095,32.38711,14414,0.070433,0.080977 
"01","02000","02000","AL","Montgomery City & Pike Road Town (North)","0102000",-86.107624,32.34354,6301,0.039731,0.032061 
"01","02000","02100","AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties","0102000",-86.319859,32.500544,152289,0.960268,0.855546 
"01","02100","01700","AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties","0102100",-86.908421,32.224736,1,6E-6,7E-6 
"01","02100","02100","AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties","0102100",-86.618708,32.162415,11299,0.072964,0.063477 
"01","02100","02200","AL","Southwest Alabama","0102100",-87.577932,31.496563,143558,0.92703,1 
"01","02200","02701","AL","Mobile City (East)","0102200",-88.086252,30.67106,90451,0.475132,0.816603 
"01","02200","02702","AL","Mobile City (West)","0102200",-88.168599,30.672693,96985,0.509455,0.903994 
"01","02200","02703","AL","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City","0102200",-88.125303,30.627647,2934,0.015412,0.015051 
"01","02300","02701","AL","Mobile City (East)","0102300",-88.085524,30.760041,20314,0.091249,0.183397 
"01","02300","02702","AL","Mobile City (West)","0102300",-88.158806,30.753201,10300,0.046267,0.096006 
"01","02300","02703","AL","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City","0102300",-88.221709,30.684897,192008,0.862484,0.984949 
"01","02400","02600","AL","Baldwin County","0102400",-87.762466,30.548923,182265,1,1 
"01","02500","02300","AL","Coffee, Covington, Butler & Crenshaw Counties","0102500",-86.122706,31.32344,87713,0.766059,0.715639 
"01","02500","02500","AL","Houston, Dale, Geneva & Henry Counties--Dothan City","0102500",-85.788866,31.094245,26786,0.233941,0.13674 
"01","02600","02500","AL","Houston, Dale, Geneva & Henry Counties--Dothan City","0102600",-85.474006,31.263737,151802,1,0.774935 
"02","00101","00101","AK","Anchorage Municipality (North)","0200101",-149.726616,61.248157,132542,1,1 
"02","00102","00102","AK","Anchorage Municipality (South)","0200102",-149.848269,61.145696,159284,1,1 
"02","00200","00200","AK","Matanuska-Susitna & Kenai Peninsula Boroughs","0200200",-150.051804,61.10534,144395,1,1 
"02","00300","00300","AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska","0200300",-143.40322,62.462725,163327,0.948429,0.994078 
"02","00300","00400","AK","Subsistence Alaska","0200300",-135.337187,57.062747,8881,0.051571,0.08095 
"02","00400","00300","AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska","0200400",-135.289926,59.445649,973,0.009558,0.005922 
"02","00400","00400","AK","Subsistence Alaska","0200400",-155.222972,61.101925,100829,0.990442,0.91905 
"04","00101","00129","AZ","Phoenix (Far North) & Peoria (Northwest) Cities","0400101",-112.294717,33.658989,2259,0.015629,0.021348 
"04","00101","00130","AZ","Maricopa County--El Mirage City & Sun City","0400101",-112.310327,33.634273,75717,0.523851,0.651486 
"04","00101","00131","AZ","Maricopa County--Surprise City (Central)","0400101",-112.405838,33.652343,27457,0.189963,0.265182 
"04","00101","00134","AZ","Maricopa County (West) & Gila River Indian Community (Northwest)","0400101",-112.525138,33.784918,39106,0.270557,0.355891 
"04","00102","00127","AZ","Maricopa County--Peoria City (South & Central)","0400102",-112.241536,33.608576,110162,0.75346,0.971044 
"04","00102","00129","AZ","Phoenix (Far North) & Peoria (Northwest) Cities","0400102",-112.252209,33.707893,33160,0.2268,0.313368 
"04","00102","00130","AZ","Maricopa County--El Mirage City & Sun City","0400102",-112.259865,33.604347,2886,0.019739,0.024832 
"04","00103","00112","AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek","0400103",-112.057658,33.865558,21,0.000089,0.000199 
"04","00103","00125","AZ","Phoenix City (West)","0400103",-112.138789,33.584392,61676,0.262686,0.60507 
"04","00103","00126","AZ","Maricopa County--Glendale City (North)","0400103",-112.178102,33.675585,3124,0.013306,0.02564 
"04","00103","00128","AZ","Phoenix City (North)","0400103",-112.146503,33.670265,103065,0.438967,1 
"04","00103","00129","AZ","Phoenix (Far North) & Peoria (Northwest) Cities","0400103",-112.114084,33.806689,66904,0.284952,0.632255 
"04","00104","00112","AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek","0400104",-111.980432,33.728285,51916,0.25536,0.492197 
"04","00104","00113","AZ","Phoenix City (Northeast)","0400104",-111.967902,33.631573,57994,0.285256,0.567517 
"04","00104","00114","AZ","Phoenix City (Northeast Central)","0400104",-112.02721,33.648937,46022,0.226369,0.444061 
"04","00104","00115","AZ","Phoenix City (Northwest Central)","0400104",-112.081243,33.653447,43878,0.215823,0.431204 
"04","00104","00129","AZ","Phoenix (Far North) & Peoria (Northwest) Cities","0400104",-112.053322,33.674402,3495,0.017191,0.033028 
"04","00105","00110","AZ","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town","0400105",-111.930765,33.56842,33777,0.192776,0.288796 
"04","00105","00111","AZ","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town","0400105",-111.821366,33.602476,87896,0.501649,0.838086 
"04","00105","00112","AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek","0400105",-111.917001,33.739078,53541,0.305575,0.507603 
"04","00106","00110","AZ","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town","0400106",-111.914605,33.495574,83181,0.830464,0.711204 
"04","00106","00111","AZ","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town","0400106",-111.797939,33.660487,16981,0.169535,0.161913 
"04","00107","00113","AZ","Phoenix City (Northeast)","0400107",-111.998027,33.589205,44195,0.314961,0.432483 
"04","00107","00114","AZ","Phoenix City (Northeast Central)","0400107",-112.039257,33.600339,44883,0.319864,0.43307 
"04","00107","00115","AZ","Phoenix City (Northwest Central)","0400107",-112.095019,33.609839,44822,0.319429,0.440481 
"04","00107","00116","AZ","Phoenix City (Uptown)","0400107",-112.056044,33.53049,6419,0.045746,0.064054 
"04","00108","00126","AZ","Maricopa County--Glendale City (North)","0400108",-112.19091,33.618606,113505,1,0.931583 
"04","00109","00124","AZ","Maricopa County--Glendale City (South)","0400109",-112.199714,33.530402,100367,0.586756,1 
"04","00109","00126","AZ","Maricopa County--Glendale City (North)","0400109",-112.160892,33.560674,5212,0.03047,0.042777 
"04","00109","00127","AZ","Maricopa County--Peoria City (South & Central)","0400109",-112.206709,33.561065,3285,0.019204,0.028956 
"04","00109","00130","AZ","Maricopa County--El Mirage City & Sun City","0400109",-112.326873,33.603402,29812,0.174284,0.256509 
"04","00109","00132","AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities","0400109",-112.381104,33.535163,28101,0.164281,0.273966 
"04","00109","00133","AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities","0400109",-112.279231,33.512542,4277,0.025004,0.041129 
"04","00110","00121","AZ","Phoenix (Southwest) & Tolleson Cities","0400110",-112.262586,33.420064,21087,0.06231,0.170407 
"04","00110","00130","AZ","Maricopa County--El Mirage City & Sun City","0400110",-112.327307,33.628786,7807,0.023069,0.067173 
"04","00110","00131","AZ","Maricopa County--Surprise City (Central)","0400110",-112.396,33.616631,76083,0.224818,0.734817 
"04","00110","00132","AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities","0400110",-112.410797,33.446017,74470,0.220052,0.726033 
"04","00110","00133","AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities","0400110",-112.319519,33.457797,88197,0.260614,0.848137 
"04","00110","00134","AZ","Maricopa County (West) & Gila River Indian Community (Northwest)","0400110",-112.59141,33.374199,70776,0.209136,0.644109 
"04","00111","00121","AZ","Phoenix (Southwest) & Tolleson Cities","0400111",-112.254908,33.451295,6545,0.035988,0.052891 
"04","00111","00122","AZ","Phoenix City--Maryvale (East)","0400111",-112.149347,33.501294,44963,0.247233,0.430981 
"04","00111","00123","AZ","Phoenix City--Maryvale (West)","0400111",-112.229228,33.489925,84198,0.46297,0.776705 
"04","00111","00125","AZ","Phoenix City (West)","0400111",-112.134436,33.532872,34644,0.190493,0.339874 
"04","00111","00133","AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities","0400111",-112.28897,33.500342,11515,0.063316,0.110733 
"04","00112","00114","AZ","Phoenix City (Northeast Central)","0400112",-112.056322,33.568245,12734,0.081858,0.122869 
"04","00112","00115","AZ","Phoenix City (Northwest Central)","0400112",-112.084555,33.575079,13057,0.083934,0.128315 
"04","00112","00116","AZ","Phoenix City (Uptown)","0400112",-112.088701,33.526128,93793,0.60293,0.935946 
"04","00112","00118","AZ","Phoenix City--Downtown & Sky Harbor International Airport","0400112",-112.085353,33.485892,24792,0.15937,0.228048 
"04","00112","00122","AZ","Phoenix City--Maryvale (East)","0400112",-112.115056,33.497821,5574,0.035831,0.053428 
"04","00112","00125","AZ","Phoenix City (West)","0400112",-112.114749,33.5357,5612,0.036076,0.055056 
"04","00113","00117","AZ","Phoenix City (East)","0400113",-112.00404,33.488474,97283,0.985713,0.96853 
"04","00113","00118","AZ","Phoenix City--Downtown & Sky Harbor International Airport","0400113",-111.973812,33.452252,1410,0.014287,0.01297 
"04","00114","00101","AZ","Maricopa County--Mesa City (East)","0400114",-111.643644,33.437229,52193,0.26428,0.356743 
"04","00114","00102","AZ","Maricopa County--Mesa City (North Central)","0400114",-111.759546,33.444673,107175,0.542683,0.817424 
"04","00114","00103","AZ","Maricopa County--Mesa City (West)","0400114",-111.814389,33.418848,3390,0.017165,0.031954 
"04","00114","00104","AZ","Maricopa County--Mesa City (South Central)","0400114",-111.748857,33.415797,34733,0.175871,0.346536 
"04","00115","00102","AZ","Maricopa County--Mesa City (North Central)","0400115",-111.852393,33.43127,23938,0.167335,0.182575 
"04","00115","00103","AZ","Maricopa County--Mesa City (West)","0400115",-111.851895,33.394144,102701,0.717917,0.968046 
"04","00115","00104","AZ","Maricopa County--Mesa City (South Central)","0400115",-111.796535,33.399959,16415,0.114747,0.163775 
"04","00116","00108","AZ","Maricopa County--Tempe (South) & Chandler (Northwest) Cities","0400116",-111.934613,33.358935,63837,0.38459,0.631749 
"04","00116","00109","AZ","Maricopa County--Tempe City (North)","0400116",-111.925886,33.409346,102150,0.615409,1 
"04","00117","00117","AZ","Phoenix City (East)","0400117",-112.034316,33.4726,3161,0.022784,0.03147 
"04","00117","00118","AZ","Phoenix City--Downtown & Sky Harbor International Airport","0400117",-112.039935,33.455831,74690,0.538364,0.687032 
"04","00117","00119","AZ","Phoenix City (South)","0400117",-112.036522,33.394728,60884,0.438851,0.577023 
"04","00118","00118","AZ","Phoenix City--Downtown & Sky Harbor International Airport","0400118",-112.096035,33.453229,7822,0.045874,0.07195 
"04","00118","00119","AZ","Phoenix City (South)","0400118",-112.10434,33.411398,23428,0.137399,0.222037 
"04","00118","00121","AZ","Phoenix (Southwest) & Tolleson Cities","0400118",-112.173234,33.437856,61265,0.359302,0.49509 
"04","00118","00122","AZ","Phoenix City--Maryvale (East)","0400118",-112.158749,33.475463,53790,0.315463,0.51559 
"04","00118","00123","AZ","Phoenix City--Maryvale (West)","0400118",-112.202543,33.476166,24206,0.141961,0.223294 
"04","00119","00119","AZ","Phoenix City (South)","0400119",-112.108275,33.384093,21202,0.135708,0.20094 
"04","00119","00120","AZ","Phoenix City--Ahwatukee & South Mountain","0400119",-112.024182,33.327239,100182,0.641238,1 
